id (no tocar),codigo,nombre,categoria,precio,foto,visible,talles,descripcion
gio,A26I2128,Polera Gio,Remeras,,gio.jpg,si,"S, M, L, XL",Polera de morley.
moon-flower,A26I2141,Remera Moon Flower,Remeras,,moon-flower.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa y detalle de corte en los laterales."
moon,A26I2143,Remera Moon,Remeras,,moon.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa y detalle de corte en los laterales."
trendy,A26I2161,Remera Trendy,Remeras,,trendy.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo básica."
victoria,A26I2000,Remera Victoria,Remeras,,victoria.jpg,si,"S, M, L, XL","Remera cuello V, 100% algodón."
perfectly,A26I2142,Remera Perfectly,Remeras,,perfectly.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa y detalle de corte en los laterales."
karma,A26I2153,Remera Karma,Remeras,,karma.jpg,si,"S, M, L, XL","Remera de jersey, cuello redondo con estampa al frente."
be-you,A26I2154,Remera Be You,Remeras,,be-you.jpg,si,"S, M, L, XL","Remera de jersey, cuello redondo con estampa al frente."
lirium,A26I2168,Remera Lirium,Remeras,,lirium.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
jaguar,A26I2167,Remera Jaguar,Remeras,,jaguar.jpg,si,"S, M, L, XL","Remera de algodón, cuello redondo con estampa."
idalia,27V00429,Remera Tejida Idalia,Tejidos,,idalia.jpg,si,Único,Remera tejida de talle único.
sweater-esmeralda,A26I183,Sweater,Tejidos,,sweater-esmeralda.jpg,si,Único,Sweater tejido de talle único.
cowl-neck,A26I6013,Buzo Cowl Neck Rústico,Tejidos,,cowl-neck.jpg,si,"S, M, L, XL",Buzo rústico con cuello cowl neck.
chery,27V00420,Remera Tejida Chery,Tejidos,,chery.jpg,si,Único,Remera tejida de talle único.
celina,27V00408,Remera Tejida Celina,Tejidos,,celina.jpg,si,Único,Remera tejida de talle único.
julieta,27V00408,Remera Julieta,Tejidos,,julieta.jpg,si,Único,Remera tejida de talle único.
calista,27V00428,Remera Tejida Calista,Tejidos,,calista.jpg,si,Único,Remera tejida de talle único.
africa,27V00177,Sweater África,Tejidos,,africa.jpg,si,Único,Sweater tejido de talle único.
beca,27V00393,Musculosa Tejida Beca,Tejidos,,beca.jpg,si,Único,Musculosa tejida de talle único.
marion,27V00392,Remera Tejida Marion,Tejidos,,marion.jpg,si,Único,Remera tejida de talle único.
analia,27V00391,Remera Tejida Analía,Tejidos,,analia.jpg,si,Único,Remera tejida de talle único.
nicky,27V00432,Remera Tejida Nicky,Tejidos,,nicky.jpg,si,Único,Remera tejida de talle único.
cassie,27V00394,Remera Tejida Cassie,Tejidos,,cassie.jpg,si,Único,Remera tejida de talle único.
barbara,27V00423,Remera Tejida Bárbara,Tejidos,,barbara.jpg,si,Único,Remera tejida de talle único.
kaia,27V00395,Remera Tejida Kaia,Tejidos,,kaia.jpg,si,Único,Remera tejida de talle único.
chantal,27V00424,Remera Tejida Chantal,Tejidos,,chantal.jpg,si,Único,Remera tejida de talle único.
cruella,27V00427,Tejido Cruella,Tejidos,,cruella.jpg,si,Único,Prenda tejida de talle único.
lauren,27V00430,Chaleco Tejido Lauren,Tejidos,,lauren.jpg,si,Único,Chaleco tejido de talle único.
galit,27V0086,Vestido Galit,Tejidos,,galit.jpg,si,Único,Vestido tejido de talle único.
era,A26I2123,Remera Era,Remeras,,era.jpg,si,"S, M, L, XL","Remera de foil, cuello redondo."
nidia,27V00356,Blusa Nidia,Blusas,,nidia.jpg,si,"S, M, L, XL",Blusa de cuello redondo.
ons,27V1022,Camisa Ons,Camisas,,ons.jpg,si,"S, M, L, XL",Camisa de lino.
plumety,27V1020,Blusa Plumety,Blusas,,plumety.jpg,si,"S, M, L, XL",Blusa de plumetí con manga japonesa.
dante,27V1021,Camisa Dante,Camisas,,dante.jpg,si,"S, M, L, XL",Camisa de fibrana con apliques en cuello y puño.
dall,27V1023,Camisa Dall,Camisas,,dall.jpg,si,"S, M, L, XL",Camisa de fibrana.
